step,datetime,portfolio_value,benchmark_value,cash,reward,portfolio_return,drawdown,total_fees,rolling_volatility,risk_adjusted_return,cost_penalty,risk_halted,price_btc_usdt,holding_btc_usdt,position_value_btc_usdt,action_btc_usdt,price_eth_usdt,holding_eth_usdt,position_value_eth_usdt,action_eth_usdt,label,agent_return,benchmark_return,agent_cumulative_return,benchmark_cumulative_return,agent_drawdown,benchmark_drawdown,gross_exposure,exposure_btc_usdt,exposure_eth_usdt
0,2026-04-20 00:00:00+00:00,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,74125.171875,0.0,0.0,0.0,2273.6298828125,0.0,0.0,0.0,forward_2026_0420_0428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2026-04-20 00:05:00+00:00,10000.0,9989.4375,10000.0,0.0,0.0,0.0,0.0,0.0018374009523540735,0.0,0.0,False,74077.796875,0.0,0.0,-0.8123054504394531,2270.280029296875,0.0,0.0,-0.9572664499282837,forward_2026_0420_0428,0.0,-0.0010562499999999808,0.0,-0.0010562499999999808,0.0,-0.0010562499999999808,0.0,0.0,0.0
2,2026-04-20 00:10:00+00:00,10000.0,9993.7724609375,10000.0,0.0,0.0,0.0,0.0,0.0018292008899152279,0.0,0.0,False,74097.7265625,0.0,0.0,0.562176525592804,2271.639892578125,0.0,0.0,-1.0,forward_2026_0420_0428,0.0,0.00043395445814642386,0.0,-0.0006227539062499954,0.0,-0.0006227539062499954,0.0,0.0,0.0
3,2026-04-20 00:15:00+00:00,10000.0,9995.00390625,10000.0,0.0,0.0,0.0,0.0,0.00182071712333709,0.0,0.0,False,74136.5234375,0.0,0.0,0.38257861137390137,2271.010009765625,0.0,0.0,-0.8560570478439331,forward_2026_0420_0428,0.0,0.0001232212677757527,0.0,-0.000499609375000043,0.0,-0.000499609375000043,0.0,0.0,0.0
4,2026-04-20 00:20:00+00:00,10000.0,10011.591796875,10000.0,0.0,0.0,0.0,0.0,0.0018213622970506549,0.0,0.0,False,74235.3984375,0.0,0.0,1.0,2275.52001953125,0.0,0.0,-0.9635233283042908,forward_2026_0420_0428,0.0,0.0016596182233232781,0.0,0.0011591796874999005,0.0,0.0,0.0,0.0,0.0
5,2026-04-20 00:25:00+00:00,10000.0,10014.2216796875,10000.0,0.0,0.0,0.0,0.0,0.001812889939174056,0.0,0.0,False,74242.109375,0.0,0.0,0.5691490769386292,2276.510009765625,0.0,0.0,-0.08759035915136337,forward_2026_0420_0428,0.0,0.0002626837835437712,0.0,0.0014221679687500544,0.0,0.0,0.0,0.0,0.0
6,2026-04-20 00:30:00+00:00,9999.998046875,10020.111328125,9997.730191527367,-1.5046740625014718e-06,-1.953125e-07,1.953125e-07,0.00226754093170166,0.0018057222478091717,-0.00010816309068313057,2.26754093170166e-07,False,74264.21875,0.0,0.0,0.5754539966583252,2278.510009765625,0.0009951858082786202,2.2675408257395304,0.9951857924461365,forward_2026_0420_0428,-1.9531249995097255e-07,0.000588128426340484,-1.9531249995097255e-07,0.002011132812500094,-1.9531249995097255e-07,0.0,0.00022675412686186844,0.0,0.00022675412686186844
7,2026-04-20 00:35:00+00:00,9999.9912109375,10002.482421875,9996.129430144192,-4.637725988215671e-06,-6.835938835144304e-07,8.7890625e-07,0.0015991622209548951,0.0018037627451121807,-0.00037898213201221077,1.5991625332913274e-07,False,74174.0234375,0.0,0.0,-0.07308512181043625,2273.260009765625,0.0016986522823572159,3.8614783039797658,0.7034664154052734,forward_2026_0420_0428,-6.835938834992561e-07,-0.001759352333792763,-8.789062500014211e-07,0.00024824218750008065,-8.789062500014211e-07,-0.001759352333792763,0.0003861481697860164,0.0,0.0003861481697860164
8,2026-04-20 00:40:00+00:00,9999.9951171875,10008.328125,9995.573855030181,2.5061319365402895e-06,3.9062534332305566e-07,4.8828125e-07,0.0005550200939178467,0.0017972593195736408,0.00021734500576401242,5.550205817289049e-08,False,74177.2265625,0.0,0.0,-1.0,2275.820068359375,0.0019425292266532779,4.420846997392147,0.24387696385383606,forward_2026_0420_0428,3.906253434049489e-07,0.000584425233501662,-4.882812499884537e-07,0.0008328124999998909,-4.882812499884537e-07,-0.001175955310189658,0.00044208491560098986,0.0,0.00044208491560098986
9,2026-04-20 00:45:00+00:00,10000.0,10022.369140625,9996.729820876839,3.0911034287598877e-06,4.882814884186955e-07,1.9531246185303478e-07,0.0011571229696273804,0.0017954753711819649,0.0002719510856113368,1.1571235346291062e-07,False,74264.1171875,0.0,0.0,-1.0,2279.5400390625,0.001434916746802628,3.270950177057898,-0.5076124668121338,forward_2026_0420_0428,4.882814883533371e-07,0.0014029331822091873,0.0,0.0022369140625000394,0.0,0.0,0.0003270950177057898,0.0,0.0003270950177057898
10,2026-04-20 00:50:00+00:00,10000.0029296875,10030.921875,9997.53075239897,1.8492006751904177e-06,2.9296875e-07,9.765621185304224e-08,0.0008017332553863526,0.0017897849902510643,0.00016368935317883179,8.017332553863525e-08,False,74323.09375,0.0,0.0,-1.0,2281.6201171875,0.0010835290886461735,2.4722017662129474,-0.35138770937919617,forward_2026_0420_0428,2.9296874992645883e-07,0.0008533645343726803,2.9296874992645883e-07,0.0030921875000000654,0.0,0.0,0.0002472201041935298,0.0,0.0002472201041935298
11,2026-04-20 00:55:00+00:00,10000.0009765625,10027.736328125,9998.35789118189,-1.375950334253784e-06,-1.9531244277955778e-07,2.9296863555912675e-07,0.0008279667496681214,0.001781436032615602,-0.00010963763975864498,8.279665070998087e-08,False,74289.5625,0.0,0.0,-1.0,2281.199951171875,0.0007205767906270921,1.643779739594109,-0.3629522919654846,forward_2026_0420_0428,-1.9531244277448678e-07,-0.00031757269318777315,9.765624997548628e-08,0.002773632812500093,-1.9531244277448678e-07,-0.00031757269318777315,0.00016437795790687595,0.0,0.00016437795790687595
12,2026-04-20 01:00:00+00:00,10000.0009765625,10027.546875,9999.191141846362,-8.487330995461773e-08,0.0,2.9296863555912675e-07,0.0008340847492218018,0.0017733790446072817,0.0,8.340846677682209e-08,False,74308.2734375,0.0,0.0,-1.0,2280.5400390625,0.00035483678220771253,0.8092194891567885,-0.36574000120162964,forward_2026_0420_0428,0.0,-1.8892910503498506e-05,9.765624997548628e-08,0.0027546874999999638,-1.9531244277448678e-07,-0.0003364596038187839,8.092194101314555e-05,0.0,8.092194101314555e-05
13,2026-04-20 01:05:00+00:00,10000.001953125,10037.623046875,9999.191141846362,6.485580257586919e-07,9.765624046325777e-08,1.953124237060845e-07,0.0,0.0017695247661322355,5.5187834741396446e-05,0.0,False,74333.4375,0.0,0.0,-1.0,2284.35009765625,0.00035483678220771253,0.8105714380882176,0.08046014606952667,forward_2026_0420_0428,9.765624042756826e-08,0.0010048491421288386,1.9531249995097255e-07,0.00376230468749994,-9.765622144275454e-08,0.0,8.105712797735146e-05,0.0,8.105712797735146e-05
14,2026-04-20 01:10:00+00:00,10000.0009765625,10038.849609375,10000.000902707045,-7.345161342523872e-07,-9.765623092651739e-08,2.9296863555912675e-07,0.0008105714321136474,0.0017616732511669397,-5.5433793276817955e-05,8.105712737989455e-08,False,74351.6171875,0.0,0.0,-0.9126685261726379,2284.35009765625,0.0,0.0,-0.42465364933013916,forward_2026_0420_0428,-9.765623087965025e-08,0.000122196509499517,9.765624997548628e-08,0.003884960937500015,-1.9531244277448678e-07,0.0,0.0,0.0,0.0
15,2026-04-20 01:15:00+00:00,10000.0009765625,10030.439453125,10000.000902707045,-1.4648431777956338e-09,0.0,2.9296863555912675e-07,0.0,0.0017555458471179008,0.0,0.0,False,74335.1796875,0.0,0.0,-0.5172781944274902,2281.030029296875,0.0,0.0,-0.4137176275253296,forward_2026_0420_0428,0.0,-0.0008377609564094168,9.765624997548628e-08,0.0030439453124999627,-1.9531244277448678e-07,-0.0008377609564094168,0.0,0.0,0.0
16,2026-04-20 01:20:00+00:00,10000.0,10023.908203125,9999.374445987407,-7.206981554925516e-07,-9.765624046325777e-08,3.90624847412169e-07,0.000625830888748169,0.001748527167364955,-5.585057080290453e-05,6.258308276318773e-08,False,74265.421875,0.0,0.0,0.08603838086128235,2280.199951171875,0.00027446314925327897,0.6258308595258057,0.27446314692497253,forward_2026_0420_0428,-9.765624042756826e-08,-0.0006511429564499682,0.0,0.0023908203125000416,-2.929686642172413e-07,-0.0014883584107133752,6.258308595258058e-05,0.0,6.258308595258058e-05
17,2026-04-20 01:25:00+00:00,10000.0,10027.45703125,9998.218454138103,-1.174368254661563e-07,0.0,3.90624847412169e-07,0.0011548370122909546,0.0017414200119674206,0.0,1.1548370122909546e-07,False,74285.421875,0.0,0.0,-0.00038393400609493256,2281.199951171875,0.0007807041984051466,1.7809423792814982,0.5062410235404968,forward_2026_0420_0428,0.0,0.00035403637514286324,0.0,0.0027457031249999986,-2.929686642172413e-07,-0.0011348489685870655,0.00017809423792814982,0.0,0.00017809423792814982
18,2026-04-20 01:30:00+00:00,10000.0078125,10071.2548828125,9996.247620474758,4.9549527669299795e-06,7.8125e-07,1.95312309265323e-07,0.0019688647985458374,0.0017871169839054346,0.00043715658083308894,1.9688647985458374e-07,False,74499.15625,0.0,0.0,0.644243061542511,2294.56005859375,0.0016387618379667401,3.7602374589461647,0.8580576181411743,forward_2026_0420_0428,7.812500000259348e-07,0.004367792494747835,7.812500000259348e-07,0.007125488281249925,0.0,0.0,0.0003760234521262945,0.0,0.0003760234521262945
